Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2012-11-15,28.90406290411774,29.10959282499206,28.49985806697789,28.568368911743164,15087000,0.0,0.0,4.0
2012-11-16,28.540961696707846,28.540961696707846,27.753104048568552,28.362838745117188,27896800,0.0,0.0,4.0
2012-11-19,28.657426882327808,29.335667144167182,28.547809549143757,29.32881736755371,16543300,0.0,0.0,4.0
2012-11-20,29.253460075400767,29.363074807595403,29.130143175004132,29.335670471191406,10819600,0.0,0.0,4.0
2012-11-21,29.431586338994073,29.582307592713754,29.301419646595402,29.568605422973633,8672100,0.0,0.0,4.0
2012-11-23,29.6645160834101,29.98651051796974,29.568603514840373,29.979658126831055,5133000,0.0,0.0,4.0
2012-11-26,29.753575414774417,29.808381470404107,29.48638968670437,29.664512634277344,12282000,0.0,0.0,4.0
2012-11-27,29.56859312331927,29.685060210952635,29.369915664863896,29.445276260375977,13495000,0.0,0.0,4.0
2012-11-28,29.3151144660683,29.856338274702974,29.18494519288571,29.842636108398438,14210700,0.0,0.0,4.0
2012-11-29,29.959105273330596,30.192036909986363,29.80838403389998,30.150930404663086,15022000,0.0,0.0,4.0
2012-11-30,30.253680721326152,30.356445628195104,30.007047035576786,30.226276397705078,16992500,0.0,0.0,4.0
2012-12-03,30.466071616664202,30.486623560297737,30.164629171793095,30.21258544921875,11458400,0.0,0.0,5.0
2012-12-04,30.041323833027302,30.24685380206645,29.890605166066607,29.918006896972656,12945800,0.0,0.0,5.0
2012-12-05,29.911145617768756,30.308500617491173,29.90429584103128,30.21258544921875,15334900,0.0,0.0,5.0
2012-12-06,30.26740193856906,30.47292926828055,30.21259325682104,30.452377319335938,15506000,0.0,0.0,5.0
2012-12-07,30.4181017796607,30.486609970180766,30.082405373904493,30.424951553344727,11139400,0.0,0.0,5.0
2012-12-10,30.445511093269534,30.452363482085275,30.09611505286426,30.164623260498047,11137800,0.0,0.0,5.0
2012-12-11,30.20574655686402,30.48663454589607,30.20574655686402,30.445528030395508,8734400,0.0,0.0,5.0
2012-12-12,30.548274177200877,30.78805550288972,30.431807095137412,30.685293197631836,10741000,0.0,0.0,5.0
2012-12-13,30.719547918964654,30.719547918964654,30.370151892568195,30.50031852722168,8303600,0.0,0.0,5.0
2012-12-14,30.4318136199611,30.712704109450968,30.27424262737818,30.287944793701172,10604700,0.0,0.0,5.0
2012-12-17,30.315339142763495,30.349593240579765,30.048153521008395,30.226276397705078,12605300,0.0,0.0,5.0
2012-12-18,30.226290654599726,30.253694991146656,29.760427386987413,30.055017471313477,24653200,0.0,0.0,5.0
2012-12-19,30.07557072396048,30.089270278217466,29.71246981404009,29.719322204589844,12734400,0.0,0.0,3.0
2012-12-20,29.733024297780506,30.034464145682986,29.630259347161733,30.013912200927734,9867800,0.0,0.0,3.0
2012-12-21,29.835787044204274,30.12352734183072,29.63025975356898,29.849489212036133,21106500,0.0,0.0,3.0
2012-12-24,29.637111687680793,29.938554175077243,29.637111687680793,29.82893943786621,3375400,0.0,0.0,3.0
2012-12-26,29.828927562995364,30.00020068504276,29.63025011419948,29.767269134521484,6095700,0.0,0.0,3.0
